compound_name,concentration_uM,replicate_number,role
Cisplatin,0.1,7,treatment
Cisplatin,1.0,7,treatment
Cisplatin,10.0,7,treatment
Carboplatin,0.1,7,treatment
Carboplatin,1.0,7,treatment
Carboplatin,10.0,7,treatment
Paclitaxel,0.1,7,treatment
Paclitaxel,1.0,7,treatment
Paclitaxel,10.0,7,treatment
Doxorubicin,0.1,7,treatment
Doxorubicin,1.0,7,treatment
Doxorubicin,10.0,7,treatment
Topotecan,0.1,7,treatment
Topotecan,1.0,7,treatment
Topotecan,10.0,7,treatment
Gemcitabine,0.1,7,treatment
Gemcitabine,1.0,7,treatment
Gemcitabine,10.0,7,treatment
Olaparib,0.1,7,treatment
Olaparib,1.0,7,treatment
Olaparib,10.0,7,treatment
Niraparib,0.1,7,treatment
Niraparib,1.0,7,treatment
Niraparib,10.0,7,treatment
Rucaparib,0.1,7,treatment
Rucaparib,1.0,7,treatment
Rucaparib,10.0,7,treatment
Veliparib,0.1,7,treatment
Veliparib,1.0,7,treatment
Veliparib,10.0,7,treatment
Adavosertib,0.1,7,treatment
Adavosertib,1.0,7,treatment
Adavosertib,10.0,7,treatment
Berzosertib,0.1,7,treatment
Berzosertib,1.0,7,treatment
Berzosertib,10.0,7,treatment
Trametinib,0.1,7,treatment
Trametinib,1.0,7,treatment
Trametinib,10.0,7,treatment
Palbociclib,0.1,7,treatment
Palbociclib,1.0,7,treatment
Palbociclib,10.0,7,treatment
DMSO,0,14,solvent
